Year,fossil-fuel-and-industry,land-use-change-emissions,atmospheric-growth,ocean-sink,land-sink,budget-imbalance,emissions-total,sinks-total
1993,6.19987734155666,1.31294007243486,2.6199,2.02842613927547,2.83150644814909,0.0329848265669574,7.51281741399152,7.47983258742456
1994,6.24394631533215,1.30682127761662,3.5784,1.90311017076079,1.41358704135307,0.655670380834905,7.55076759294877,6.89509721211386
1995,6.37870160184955,1.2920542120261,4.1535,1.90789349742481,1.69275669138853,-0.0833943749376871,7.67075581387566,7.75415018881334
1996,6.57738984451924,1.26595757756247,2.2578,1.85979204874878,3.05551725821214,0.670238115120783,7.8433474220817,7.17310930696092
1997,6.61487256248848,1.73840258834695,4.1961,1.9915423027061,3.18892075899822,-1.02328791086889,8.35327515083543,9.37656306170432
1998,6.59111238057101,1.18740797006902,6.0066,2.0926768298158,1.43288313263453,-1.75363961181029,7.77852035064004,9.53215996245033
1999,6.674814165179,1.16140557280399,2.9181,1.94012775001868,3.37846531494505,-0.400473326980734,7.836219737983,8.23669306496373
2000,6.86527280544443,1.34109489373587,2.6199,1.90675436388666,3.7289923918723,-0.0492790565786665,8.2063676991803,8.25564675575896
2001,6.92262071730816,1.27204789345797,3.8766,1.80528980997622,2.38866060370712,0.12411819708278,8.19466861076613,8.07055041368335
2002,7.07407585474694,1.46074783590428,5.0268,2.14843700112389,1.04422857324339,0.31535811628394,8.53482369065122,8.21946557436729
2003,7.41483674218924,1.51957974412454,4.8777,2.21994468792871,2.27877330068024,-0.442001502295177,8.93441648631378,9.37641798860896
2004,7.76319804088034,1.47881242993,3.3441,2.15152357654307,3.45321774643679,0.293169147830479,9.24201047081034,8.94884132297986
2005,8.02431763184792,1.36776814942289,5.1972,2.2178022194737,1.81485228125745,0.162231280539668,9.39208578127082,9.22985450073115
2006,8.29030479250458,1.41756608622008,3.7275,2.28244506202902,3.01755818004824,0.680367636647402,9.70787087872466,9.02750324207726
2007,8.53770238140166,1.2356778988377,4.473,2.31670055150422,2.82742073456567,0.156258994169471,9.77338028023936,9.61712128606989
2008,8.73209548891805,1.29848739028399,3.7914,2.27335774070052,3.50359540985756,0.462229728643957,10.030582879202,9.56835315055808
2009,8.60596799973018,1.50424934289833,3.4293,2.33595332628791,2.71604610016125,1.62891791617935,10.1102173426285,8.48129942644917
